Type of MB,Types of contaminants,Compound size (nm),Compound stokes radius rs (nm),Compound charge,Diffusion coefficient (cm2·s-1),pKa1 ,pKa2,WS (mg/L),MinPartialCharge,Min projection (Å),E,S,A,B,MB MWCO (Da),rs/rp,ΦS,ΦD,MB contact angle (°),"MB surface energy, γm (J·m-2)",MB zeta potential (mV),RMS roughness (nm),Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),pH,Removal rate (%),RD_LogP,RD_TPSA,RD_HBA,RD_HBD,RD_Rings,RD_RotBonds,RD_FractionCSP3,RD_NumAliphaticRings,RD_NumAromaticRings,RD_BertzCT
NF,Carbamazepine,-0.0553656447708969,-0.03349042131915321,0.4749415060482177,-0.8218998149757206,1.3096632258924408,-0.5591068124789533,-1.235258258474186,0.6070603934144684,0.46535152072086183,1.1383745895572288,0.292321188200388,-0.043154048380812625,0.16045787286158383,0.2576018843868291,-0.1894913083358263,-0.6191950661910972,0.4712583124693626,-0.39354920726589404,-0.33006442674348585,-0.3248392957812697,0.9264093404995458,-0.6425935515729118,-0.8753507880346727,-1.0737639257522613,0.21875746762308354,88.4,0.903695080231938,-0.4543969768590019,-1.3223199481224337,-0.5023394391526529,1.113796801477171,-1.556491705079866,-1.4085997045062815,1.9532359806810085,1.05559337039366,0.5942982240829494
NF,Caffeine,-0.48730769817191477,-0.47888641660284914,0.4749415060482177,-0.8218791471366289,0.7074623901741665,-0.5591068124789533,0.9028366536867599,0.7882646393600947,0.4070495463098771,0.20072660020126507,0.20035096999274835,-1.3989043383124395,0.3362882339660368,-0.7541298257482876,0.41526889100358727,0.36301061246101873,0.4712583124693626,0.38091222561018073,-0.6207252709933065,0.13822867115707066,1.2604343198770425,-1.9215599886258312,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,86.5,-1.5659001529004382,0.08494092382058827,0.25968775868950544,-2.153866489508185,0.4875581565985462,-1.556491705079866,0.06417048123184219,-0.4855150365548911,1.05559337039366,0.6730337910301931
NF,Carbamazepine,-0.0553656447708969,-0.03349042131915321,0.4749415060482177,-0.8218998149757206,1.3096632258924408,-0.5591068124789533,-1.235258258474186,0.6070603934144684,0.46535152072086183,1.1383745895572288,0.292321188200388,-0.043154048380812625,0.16045787286158383,-0.7541298257482876,0.6979849177375989,0.8064774491072284,0.4712583124693626,0.38091222561018073,-0.6207252709933065,0.13822867115707066,1.2604343198770425,-1.9215599886258312,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,95.2,0.903695080231938,-0.4543969768590019,-1.3223199481224337,-0.5023394391526529,1.113796801477171,-1.556491705079866,-1.4085997045062815,1.9532359806810085,1.05559337039366,0.5942982240829494
NF,Estrone,0.1822498412016722,0.30138320825303994,0.4749415060482177,-0.8218468788245267,0.6807017892397331,-0.5591068124789533,-1.0593435859390585,-1.0872242740845006,-0.14716445115454088,0.5174632807103235,0.46035429631563635,-0.043154048380812625,0.032350801720939064,0.9799865972156163,-0.6504720671422768,-1.0471707968726245,0.4712583124693626,-1.0368263122566,-1.232833548064397,0.7075650049576384,-1.3329913433404699,-1.9542566828631451,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,77.63,1.2006411826987613,-0.809929448290382,-0.3882348391686677,-0.5023394391526529,1.6371253606422902,-1.556491705079866,0.7323068327188528,2.1110872078616105,0.05811025098402548,0.5128309018415785
NF,Metronidazole,-0.5000398238869129,-0.7416773911489353,0.4749415060482177,1.4747159642892367,-0.9108638437220188,1.8491645358243132,0.6923357563169805,0.24238665361413622,0.7567615226271335,-0.28455704519812847,0.1654188001685428,-0.42157273255849165,-0.04283839432338164,0.9799865972156163,-1.2128219473806974,-0.9694988505479609,0.4712583124693626,-1.0368263122566,-1.232833548064397,0.7075650049576384,-1.3329913433404699,-1.9542566828631451,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,44.55,-1.076260680348519,0.6738335230428149,0.753950439255191,-0.5023394391526529,-0.31029628977033424,0.2796506834037448,0.4360772610082898,-0.4855150365548911,0.05811025098402548,-0.6813949901169667
NF,Nonylphenol,0.8478734576199888,-0.19733100951905427,0.4749415060482177,1.0987976057749878,0.6807017892397331,-0.5591068124789533,-1.5898276267809548,-1.08337543892228,-0.7604851430470704,-0.6467536398091782,-1.204160406801866,0.08366798095644276,-1.3342114300911874,0.9799865972156163,-0.9077587558248533,-1.0870836480700417,0.4712583124693626,-1.0368263122566,-1.232833548064397,0.7075650049576384,-1.3329913433404699,-1.9542566828631451,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,84.9,1.611047576872438,-1.6210586314401458,-1.3223199481224337,-0.5023394391526529,-0.31029628977033424,1.4175703056164892,0.703974413386748,-0.4855150365548911,0.05811025098402548,-0.714509599168223
NF,Estrone,0.1822498412016722,0.30138320825303994,0.4749415060482177,-0.8218468788245267,0.6807017892397331,-0.5591068124789533,-1.0593435859390585,-1.0872242740845006,-0.14716445115454088,0.5174632807103235,0.46035429631563635,-0.043154048380812625,0.032350801720939064,-0.7541298257482876,0.8955724626891589,1.0702368899658754,0.4712583124693626,0.38091222561018073,-0.6207252709933065,0.13822867115707066,1.2604343198770425,-1.9215599886258312,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,94.225,1.2006411826987613,-0.809929448290382,-0.3882348391686677,-0.5023394391526529,1.6371253606422902,-1.556491705079866,0.7323068327188528,2.1110872078616105,0.05811025098402548,0.5128309018415785
NF,Metronidazole,-0.5000398238869129,-0.7416773911489353,0.4749415060482177,1.4747159642892367,-0.9108638437220188,1.8491645358243132,0.6923357563169805,0.24238665361413622,0.7567615226271335,-0.28455704519812847,0.1654188001685428,-0.42157273255849165,-0.04283839432338164,-0.7541298257482876,0.23646158763523692,0.05931803662759096,0.4712583124693626,0.38091222561018073,-0.6207252709933065,0.13822867115707066,1.2604343198770425,-1.9215599886258312,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,86.97,-1.076260680348519,0.6738335230428149,0.753950439255191,-0.5023394391526529,-0.31029628977033424,0.2796506834037448,0.4360772610082898,-0.4855150365548911,0.05811025098402548,-0.6813949901169667
NF,Phenacetine,-0.30506561411890765,-0.6479434010846383,0.4749415060482177,1.3567356361234058,1.4207006544440905,1.6189281284295975,-0.012749011524230193,-0.8978935046761677,-1.038223538523451,-0.49713779579986084,-0.2109734124113086,-0.09939385021789558,-0.4008756783171049,0.9799865972156163,-1.1583196613084308,-1.0014159458139233,0.4712583124693626,-1.0368263122566,-1.232833548064397,0.7075650049576384,-1.3329913433404699,-1.9542566828631451,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,41.3,0.024306869408972,-0.7674265613275223,-0.3882348391686677,-0.5023394391526529,-0.31029628977033424,0.2796506834037448,-0.1822740595250255,-0.4855150365548911,0.05811025098402548,-0.7473272778048391
NF,Nonylphenol,0.8478734576199888,-0.19733100951905427,0.4749415060482177,1.0987976057749878,0.6807017892397331,-0.5591068124789533,-1.5898276267809548,-1.08337543892228,-0.7604851430470704,-0.6467536398091782,-1.204160406801866,0.08366798095644276,-1.3342114300911874,-0.7541298257482876,0.5967782005721257,0.6553966716734434,0.4712583124693626,0.38091222561018073,-0.6207252709933065,0.13822867115707066,1.2604343198770425,-1.9215599886258312,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,95.85,1.611047576872438,-1.6210586314401458,-1.3223199481224337,-0.5023394391526529,-0.31029628977033424,1.4175703056164892,0.703974413386748,-0.4855150365548911,0.05811025098402548,-0.714509599168223
NF,Phenazone,-0.2402861474850532,-0.545468493349972,0.4749415060482177,1.2975564722191641,-1.1567492467204212,0.9170200167909774,1.1176210759484992,1.0425146783374881,-0.04502439388178296,-0.060729796905881005,0.21194055400568151,-1.710387722133611,0.5370734351894323,0.9799865972156163,-1.0997056617090664,-1.030920473182703,0.4712583124693626,-1.0368263122566,-1.232833548064397,0.7075650049576384,-1.3329913433404699,-1.9542566828631451,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,59.975,-0.31654891443668254,-1.2740488136644252,-1.3223199481224337,-2.153866489508185,0.4875581565985462,-0.7819366847264313,-0.6134756756450033,-0.4855150365548911,1.05559337039366,0.17294638731953518
NF,Primidone,-0.4644934322184475,-0.21934421669293455,0.4749415060482177,1.2111637265906272,1.0393080694487786,1.756686279230632,-0.14164549292871667,0.7144608949419887,0.013331447876329262,0.2370291314895176,1.0236727420753322,0.34543015164795565,2.0996768334442164,-0.7541298257482876,0.5829400031751998,0.6339939316537906,0.4712583124693626,0.38091222561018073,-0.6207252709933065,0.13822867115707066,1.2604343198770425,-1.9215599886258312,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,82.0,-0.8496453349684546,-0.03462842637635643,-0.3882348391686677,0.49942570747644427,0.4875581565985462,-0.20185097476895872,-0.07037256453572427,1.9532359806810085,0.05811025098402548,-0.2281266215927097
NF,Phenacetine,-0.30506561411890765,-0.6479434010846383,0.4749415060482177,1.3567356361234058,1.4207006544440905,1.6189281284295975,-0.012749011524230193,-0.8978935046761677,-1.038223538523451,-0.49713779579986084,-0.2109734124113086,-0.09939385021789558,-0.4008756783171049,-0.7541298257482876,0.30133661780309934,0.1702899573878134,0.4712583124693626,0.38091222561018073,-0.6207252709933065,0.13822867115707066,1.2604343198770425,-1.9215599886258312,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,74.875,0.024306869408972,-0.7674265613275223,-0.3882348391686677,-0.5023394391526529,-0.31029628977033424,0.2796506834037448,-0.1822740595250255,-0.4855150365548911,0.05811025098402548,-0.7473272778048391
NF,Phenazone,-0.2402861474850532,-0.545468493349972,0.4749415060482177,1.2975564722191641,-1.1567492467204212,0.9170200167909774,1.1176210759484992,1.0425146783374881,-0.04502439388178296,-0.060729796905881005,0.21194055400568151,-1.710387722133611,0.5370734351894323,-0.7541298257482876,0.37085863934898544,0.2884278131032961,0.4712583124693626,0.38091222561018073,-0.6207252709933065,0.13822867115707066,1.2604343198770425,-1.9215599886258312,-0.8753507880346727,-1.0057886274957217,0.21875746762308354,92.575,-0.31654891443668254,-1.2740488136644252,-1.3223199481224337,-2.153866489508185,0.4875581565985462,-0.7819366847264313,-0.6134756756450033,-0.4855150365548911,1.05559337039366,0.17294638731953518
NF,Diuron,-0.08794553867190129,-0.06584968902780299,0.4749415060482177,-0.8217995869812648,1.2511665839723898,-0.5591068124789533,-0.9838414960477095,0.7670814332982598,-0.3369126067827643,-0.0861434822180416,-0.061781809046185576,0.14848774518270189,-0.7500802580420398,0.2576018843868291,-0.20778832114015527,-0.6439399391216177,0.4712583124693626,-0.39354920726589404,-0.33006442674348585,-0.3248392957812697,0.9264093404995458,-0.6425935515729118,-0.8753507880346727,-1.0737639257522613,0.21875746762308354,72.8,0.7005417371296714,-1.0229790771560967,-1.3223199481224337,-0.5023394391526529,-0.31029628977033424,-0.7819366847264313,-0.4595739585985454,-0.4855150365548911,0.05811025098402548,-0.4244837235980849
NF,Ethanol,-2.2603058592479894,-2.6470716744979375,0.4749415060482177,-0.8209442699491137,1.637675537151582,-0.5591068124789533,1.773088020288653,0.20073783532090836,-2.5914118294928534,-1.1998537056671468,-1.801513952107494,-0.42157273255849165,-1.2892079424531595,0.2576018843868291,-2.1066700445279825,-0.13959300032806013,0.4712583124693626,-0.39354920726589404,-0.33006442674348585,-0.3248392957812697,0.9264093404995458,-0.6425935515729118,-0.8753507880346727,-1.0737639257522613,0.21875746762308354,8.7,-1.12119556240487,-1.6210586314401458,-1.3223199481224337,-0.5023394391526529,-1.4732765810320265,-1.556491705079866,1.5804681217348786,-0.4855150365548911,-1.2821116382582083,-2.177865814855302
NF,Estrone,0.1822498412016722,0.30138320825303994,0.4749415060482177,-0.8218468788245267,0.6807017892397331,-0.5591068124789533,-1.0593435859390585,-1.0872242740845006,-0.14716445115454088,0.5174632807103235,0.46035429631563635,-0.043154048380812625,0.032350801720939064,0.2576018843868291,-0.005818200358609143,-0.3454709994981346,0.4712583124693626,-0.39354920726589404,-0.33006442674348585,-0.3248392957812697,0.9264093404995458,-0.6425935515729118,-0.8753507880346727,-1.0737639257522613,0.21875746762308354,90.0,1.2006411826987613,-0.809929448290382,-0.3882348391686677,-0.5023394391526529,1.6371253606422902,-1.556491705079866,0.7323068327188528,2.1110872078616105,0.05811025098402548,0.5128309018415785
