Name of MB,Type of MB,Types of contaminants,CAS,SMILES,Compound Mw (g/mol),Compound size (nm),Compound stokes radius rs (nm),Compound charge,Compound log K ow,Density (g·cm-3),Diffusion coefficient (cm2·s-1),pKa1,pKa2,log D (pH=5.5),log D (pH=7.4),WS (mg/L),MinPartialCharge,MaxPartialCharge,Surface tension γs (dyne·cm-1),Min projection (Å),Max projection (Å),Total charge,E,S,A,B,V,MB MWCO (Da),MB pore radius rp (nm),rs/rp,ΦS,ΦD,∆Gs-m (J·m-2),MB contact angle (°),"MB surface energy, γm (J·m-2)",MB zeta potential (mV),"MB surface charge density , σm (mC·m-2)","MB volume charge density, δm (mol·m-3)",RMS roughness (nm),Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),pH,Reference,RD_MW,RD_LogP,RD_TPSA,RD_HBA,RD_HBD,RD_Rings,RD_RotBonds,RD_FracCSP3,Removal rate (%),zone
UTC60,RO,Naproxen,22204-53-1,COC1=CC=C2C=C([C@H](C)C(=O)O)C=CC2=C1,230.263,0.534939248887198,0.401032087964405,-1.0,2.986,1.24,7.37733355097318e-06,4.84,2.74,2.24,0.45,15.9,-0.496745104246102,0.310185725323245,47.4,3.92,7.3,34.7,1.51,2.02,0.6,0.67,1.7821,150.0,0.272796180254854,1.47007955752808,0.220974790405796,0.258962832021228,-0.928369485966179,51.6,45.8667681953807,-34.7,-2.7294647454783,-103.699796621965,13.9,300.0,10.0,10.0,7.0,Rejection of pharmaceuticals and personal care products (PPCPs) and endocrine disrupting chemicals (EDCs) by low pressure reverse osmosis membranes,230.26299999999998,3.036500000000001,46.53,2,1,2,3,0.21428571428571427,96.862,high
XLE,RO,perﬂuorohexanoate,307-24-4,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,313.047,0.455792716045353,0.462654385075525,-1.0,3.712,,,-0.16,,2.48,2.48,1000.0,-0.254939806228499,0.34831623179593,17.4,3.69,5.63,33.0,-0.640999999999999,0.272999999999999,0.827,0.641,1.2446,96.0,0.212755369932112,2.17458382001429,1.37964715023936,0.27668379805783,0.187318554159386,67.2,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,250.0,90.0,100.0,3.5,Selection of High Flux Membrane for the Eﬀective Removal of ShortChain Perﬂuorocarboxylic Acids,314.04999999999995,3.1745,37.3,1,1,0,4,0.8333333333333334,97.02,high
Desal51HL,NF,Diphenylaminosulfonic acid,101-57-5,O=S(=O)(O)C1=CC=C(NC2=CC=CC=C2)C=C1,249.28,0.542595613694029,0.416119753654591,-1.0,2.347,1.4,1.86787088404884e-09,-1.33,,-1.88,-1.97,183.0,,,62.1,4.99,5.9,13.98,2.22799999999999,3.282,0.003,1.96299999999999,1.76359999999999,190.0,0.311186830590451,1.33720232589869,0.113705408591486,0.580235125430439,-1.21471088726727,35.0,37.5581554697379,-13.98,-1.03295052914342,-34.4030552935939,6.0,800.0,120.0,0.049856,10.0,Relation between membrane characteristics and performance in nanofiltration,249.29100000000003,2.6769000000000007,66.4,3,2,2,3,0.0,99.0,high
VNF2,NF,Hydrochlorothiazide,58-93-5,NS(=O)(=O)C1=CC2=C(C=C1Cl)NCNS2(=O)=O,297.73,0.483912182115722,0.451977730214787,-0.0097,-0.576,1.693,2.23883434282585e-09,7.9,9.2,,,772.0,-0.37040168741078,0.243664561619359,62.8,4.13,5.67,0.5044,2.19,2.9,0.96,1.39,1.7323,150.0,0.272796180254854,1.65683306046491,0.4314296693197,0.980552397376669,-1.61958076795028,79.4,64.215042140265,-52.0,-4.47691394401117,-170.09014908769,115.5,500.0,10.0,0.1,7.0,Influences of temperature on the retention of PPCPs by nanofiltration membranes: Experiments and modeling assessment,297.74500000000006,-0.35129999999999967,118.35999999999999,5,3,2,1,0.14285714285714285,80.0,low
NF270,NF,Sulfamethoxazole,723-46-6,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.28,0.563489130329947,0.419214077088797,-0.8735,0.791,1.4895,7.77752800030572e-06,1.6,5.7,0.56,-0.56,610.0,-0.398727717127508,0.262637665467286,70.9,5.4,5.88,37.29845,1.89,2.23,0.58,1.29,1.7244,340.0,0.430317700421346,0.974196684631665,0.000665811083997754,0.234044655005254,-1.52610573048289,73.16,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,1500.0,10.0,10.0,7.0,Effect of water matrices on removal of veterinary pharmaceuticals by nanofiltration and reverse osmosis membranes,253.28300000000002,1.3660199999999998,98.22,5,2,2,3,0.1,15.4,low
XLE,RO,Thymol,89-83-8,CC1=CC=C(C(C)C)C(O)=C1,150.221,0.441157568222512,0.328738405168742,0.0,3.428,0.9699,8.22581030572476e-06,10.62,,3.3,3.3,980.0,-0.507654836000017,0.118789020608479,34.9,3.7,5.26,0.0,0.82,0.8,0.43,0.44,1.3387,96.0,0.212755369932112,1.54514739286552,0.297185679948074,1.0,-0.466145307327967,65.0,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,860.0,10.0,20.0,7.0,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,150.221,2.824020000000001,20.23,1,1,1,1,0.4,99.1,high
SWC1,RO,Hydrocortisone,50-23-7,C[C@]12CC(O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,362.466,0.578865269298478,0.495316721723911,0.0,1.275,1.4,1.75619089106236e-09,12.58,,,,320.0,-0.392772864402291,0.189629162907463,58.8,4.45,7.53,0.0,2.03,3.49,0.71,1.9,2.7976,100.0,0.217648387362773,2.27576564074571,1.62757797010731,1.0,-1.23433378708614,48.8,44.2914001982887,-30.6,-2.36766939804397,-112.746821596111,52.9,1000.0,120.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,362.4660000000002,1.7815999999999996,94.83,5,3,4,2,0.8095238095238095,99.6,high
NF90,NF,"1,5-naphthalenedisulfonic acid",81-04-9,O=S(=O)(O)C1=CC=CC2=C(S(=O)(=O)O)C=CC=C12,288.29,0.559061713945786,0.445250776645573,-2.0,1.325,1.704,2.49134820125882e-09,-0.6,,-5.39,-5.39,1000000.0,-0.281775017090775,0.29463492170578,76.4,4.75,6.58,54.58,2.50399999999999,4.281,0.003,2.125,1.76459999999999,118.0,0.23866774606206,1.86556744257264,0.749206997641741,0.119419405915831,-1.51988817812528,63.2,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,482.633,10.0,1.6,5.0,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,288.302,1.3332000000000002,108.74,4,2,2,2,0.0,88.98,low
X20,RO,Carbamazepine,298-46-4,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,236.274,0.507984251724401,0.405870770131068,0.0,2.766,1.266,1.76505511914234e-09,13.9,,2.28,2.28,18.0,-0.350883837448266,0.323422196174131,,4.48,5.76,0.0,2.15,1.9,0.5,1.15,1.8106,200.0,0.320205775712734,1.26753107194165,0.0715728744542483,1.0,,55.0,47.8630498332721,-20.0,-1.49681549216381,-48.4482181092634,81.0,1034.21,1440.0,0.00113,7.0,The rejection of endocrine disrupting and pharmaceutically active compounds by NF and RO membranes as a function of compound and water matrix properties,236.274,3.3872000000000018,46.330000000000005,1,1,3,0,0.0,91.5,high
XLE,RO,4-Hydroxybenzoic Acid ,99-96-7,O=C(O)C1=CC=C(O)C=C1,138.12,0.428153010032629,0.316137058099207,-0.04,1.327,1.46,3.71947634267095e-09,4.54,,0.51,-1.15,5000.0,-0.507966178790397,0.335182859636364,64.4,3.63,5.05,1.32,0.93,0.9,0.81,0.56,0.9904,96.0,0.212755369932112,1.48591811431167,0.236116413816209,0.949903196573307,-1.2630186735339,66.3,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,860.0,10.0,20.0,3.0,A Path to Ultraselectivity: Support Layer Properties To Maximize Performance of Biomimetic Desalination Membranes ,138.12199999999999,1.0903999999999998,57.53,2,2,1,1,0.0,95.4,high
TS80,NF,Aminopyrine,58-15-1,CC1=C(N(C)C)C(=O)N(C2=CC=CC=C2)N1C,231.299,0.522149403906583,0.401870813153755,0.0,1.151,1.17,1.83445568216017e-09,5.0,,1.05,1.1,54400.0,-0.371680832127094,0.294716386846053,49.0,4.26,6.4,0.0,1.68,1.74,0.0,1.6,1.8662,200.0,0.320205775712734,1.25503923924934,0.065045013556882,1.0,-0.954491008221877,48.0,43.8532610584624,-32.7,-2.55095244685132,-82.5680260382328,89.1,500.0,10.0,0.002,7.0,Artiﬁcial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanoﬁltration and reverse osmosis membranes,231.29900000000004,1.55042,30.17,2,0,2,2,0.3076923076923077,97.0,high
NTR7450,NF,Serine,302-84-1,NC(CO)C(=O)O,105.093,0.362739576004604,0.278381545568386,-0.9214,-3.888,1.6,1.37628576987114e-05,2.21,9.15,-3.64,-3.65,425000.0,-0.480021396143372,0.322371146848687,72.2,3.06,4.3,15.29524,0.61,0.95,0.624999999999999,1.53,0.7857,310.0,0.408736966210894,0.681077486455557,0.101711569645505,0.551269360008397,-1.81237364495058,71.0,58.271192741777,-16.6,-1.23271822352088,-31.2578137826674,9.0,800.0,120.0,0.0210186,10.0,Relation between membrane characteristics and performance in nanofiltration,105.09299999999999,-1.6093999999999997,83.55,3,3,0,2,0.6666666666666666,39.0,low
NF270,NF,Sulfamethoxazole,723-46-6,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.28,0.563489130329947,0.419214077088797,-0.8735,0.791,1.4895,7.77752800030572e-06,1.6,5.7,0.56,-0.56,610.0,-0.398727717127508,0.262637665467286,70.9,5.4,5.88,37.29845,1.89,2.23,0.58,1.29,1.7244,340.0,0.430317700421346,0.974196684631665,0.000665811083997754,0.234044655005254,-1.52610573048289,40.2,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,800.0,720.0,0.2,7.0,A One-Step Rapid Assembly of Thin Film Coating Using Green Coordination Complexes for Enhanced Removal of Trace Organic Contaminants by Membranes ,253.28300000000002,1.3660199999999998,98.22,5,2,2,3,0.1,82.0,low
HL,RO,Aminopyrine,58-15-1,CC1=C(N(C)C)C(=O)N(C2=CC=CC=C2)N1C,231.299,0.522149403906583,0.401870813153755,0.0,1.151,1.17,1.83445568216017e-09,5.0,,1.05,1.1,54400.0,-0.371680832127094,0.294716386846053,49.0,4.26,6.4,0.0,1.68,1.74,0.0,1.6,1.8662,190.0,0.311186830590451,1.29141330432023,0.084921713934835,1.0,-0.96387096268143,43.0,55.0,-11.0,-0.808970155470014,-26.9432506245784,,500.0,10.0,0.002,7.0,Artiﬁcial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanoﬁltration and reverse osmosis membranes,231.29900000000004,1.55042,30.17,2,0,2,2,0.3076923076923077,97.7,high
NF90,NF,2-Naphthalenesulfonic acid,120-18-3,O=S(=O)(O)C1=CC=C2C=CC=CC2=C1,206.285,0.482712129534778,0.381024800219834,-1.0,2.144,1.423,2.70129739651841e-09,0.27,,-2.69,-2.7,60000.0,-0.2817916062671,0.294033163760985,58.7,3.89,5.99,27.29,1.948,2.6,0.003,1.173,1.425,118.0,0.23866774606206,1.59646540643476,0.355770981073384,0.345571130038132,-1.11707066168441,63.2,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,482.633,10.0,1.6,5.0,The role of membrane surface charge and solute physico-chemical properties in the rejection of organic acids by NF membranes,208.238,2.0865,54.370000000000005,2,1,2,1,0.0,91.783,high
NE90,NF,Perchloroethylene,127-18-4,ClC(Cl)=C(Cl)Cl,165.82,0.350354106583611,0.344206461163455,0.0,2.615,1.6227,1.05564938648113e-05,,0.11,3.4,3.4,206.0,-0.0682208966360067,0.136441793272013,35.6,3.18,3.86,0.0,0.64,0.44,0.0,0.0,0.837,200.0,0.320205775712734,1.07495394296776,0.00561809356641421,1.0,-0.544001730616009,51.7,45.9242057069619,-21.82,-1.64080427396717,-53.1087791086764,,240.0,10.0,0.1,8.0,Artiﬁcial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanoﬁltration and reverse osmosis membranes,165.834,3.0682,0.0,0,0,0,0,0.0,57.0,low
BW30,RO,Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,194.194,0.472580151931924,0.370463089957864,0.0,-0.546,1.23,1.80562697831881e-09,10.4,,0.28,0.28,21600.0,-0.327863466099482,0.331703432635988,55.7,4.44,5.03,0.0,1.5,1.82,0.08,1.25,1.3632,100.0,0.217648387362773,1.70211732072419,0.492968732060915,1.0,-1.23376421959861,59.8,50.8239585708829,-16.26,-1.20662429949634,-57.4586362189063,68.3,3000.0,10.0,0.5,7.0,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,194.194,-1.0293,61.82,3,0,2,0,0.375,86.61,low
AK,RO,Formaldehyde,50-00-0,C=O,30.026,0.220617315730203,0.155391524454143,0.0,-0.467,0.8,4.49141648783649e-09,13.27,,0.35,0.35,1000000.0,-0.30709702618641,0.106382253658541,12.6,2.08,2.34,0.0,0.22,0.62,0.0,0.33,0.2652,150.0,0.272796180254854,0.569625001013473,0.185222639752653,1.0,0.464249737144147,50.0,44.9586891955355,-19.9,-1.4889600849209,-56.5696473055066,,800.0,10.0,0.030026,7.0,Removal of organic contaminants by RO and NF membranes,30.026,-0.1849,17.07,1,0,0,0,0.0,3.35,low
BW30,RO,Acetaminophen,103-90-2,CC(=O)NC1=CC=C(O)C=C1,151.165,0.444840420825266,0.329698226496231,0.0,0.907,1.293,3.25613433569989e-09,9.5,,0.49,0.49,14000.0,-0.507964315792578,0.220747436312425,52.8,3.49,5.67,0.0,1.12,1.63,1.01,0.91,1.1724,100.0,0.217648387362773,1.51482044269272,0.265040088214328,1.0,-1.14683171565067,59.8,50.8239585708829,-16.26,-1.20662429949634,-57.4586362189063,68.3,1000.0,10.0,0.5,7.0,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,151.165,1.3505999999999998,49.33,2,2,1,1,0.125,89.53,low
LE440,RO,Trichloroethylene,79-01-6,ClC=C(Cl)Cl,131.38,0.347138300969513,0.308861315213768,0.0,2.178,1.4642,1.14131556697558e-05,,0.95,2.42,2.42,1280.0,-0.0903590844896965,0.117603186740394,31.0,3.13,3.85,0.0,0.52,0.37,0.08,0.03,0.7146,100.0,0.217648387362773,1.41908386713182,0.175631287690161,1.0,-0.35335071638754,41.5,40.5036427917544,-18.37,-1.36945788996213,-65.2126620931552,,510.0,172.43,0.1,8.0,Rejection of trace organic compounds by high-pressure membranes,131.389,2.5017000000000005,0.0,0,0,0,0,0.0,86.63,low
XLE,RO,17beta-Estradiol,50-28-2,C[C@]12CC[C@@H]3C4=CC=C(O)C=C4CC[C@H]3C1CC[C@@H]2O,272.4,0.541719484604348,0.433656026207809,0.0,3.746,,,10.46,,4.01,4.01,3.6,-0.507956032195299,0.11537061826422,48.9,4.02,7.3,0.0,1.8,1.77,0.86,1.1,2.1988,96.0,0.212755369932112,2.03828475091456,1.07803522398171,1.0,-0.87457871098652,65.0,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,500.0,10.0,0.1,7.0,Rejection of neutral endocrine disrupting compounds (EDCs) and pharmaceutical active compounds (PhACs) by RO membranes,272.3879999999999,3.6092000000000026,40.46,2,2,4,0,0.6666666666666666,83.0,low
BW400,RO,Bromoform,75-25-2,CCC(CC)OC(=O)C(CC)CC,252.731,0.334415908712489,0.418790935691861,0.0,2.276,2.8899,4.08160650555954e-09,14.98,,2.4,2.4,3100.0,-0.0637169051263124,0.124221039142941,49.8,3.27,3.42,0.0,0.97,0.68,0.15,0.06,0.7745,100.0,0.217648387362773,1.92416282411423,0.854076925474789,1.0,-1.0343656360493,56.8,48.9546851232856,-4.49,-0.328115490633976,-15.6246386070586,,620.0,104.38,0.1,8.0,Rejection of trace organic compounds by high-pressure membranes,186.29499999999996,3.1544000000000016,26.3,2,0,0,6,0.9090909090909091,95.08,high
ESPA1,RO,Sulfamethoxazole,723-46-6,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.28,0.563489130329947,0.419214077088797,-0.8735,0.791,1.4895,7.77752800030572e-06,1.6,5.7,0.56,-0.56,610.0,-0.398727717127508,0.262637665467286,70.9,5.4,5.88,26.7291,1.89,2.23,0.58,1.29,1.7244,200.0,0.320205775712734,1.30920210966115,0.0956059446189058,0.353201092973211,-1.33179561910361,22.6,33.1919441164051,-30.6,-2.36766939804397,-76.6356067314867,,500.0,30.0,0.02,7.0,Role of membrane and compound properties in affecting the rejection of pharmaceuticals by different RO/NF membranes,253.28300000000002,1.3660199999999998,98.22,5,2,2,3,0.1,96.2276,high
NF90,NF,Lidocaine,137-58-6,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,234.343,0.551747224732486,0.404323620980251,0.8504,2.843,1.026,1.51542649437628e-09,14.23,7.928,2.44,2.44,410.0,-0.324484604945174,0.238066131875597,39.1,4.51,6.75,-23.207416,1.11,1.51,0.07,1.24,2.0589,118.0,0.23866774606206,1.69408572231254,0.48175498991812,2.46846941080895,-0.591264728153354,54.1,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,1000.0,1440.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,234.343,2.5837400000000006,32.34,2,1,1,5,0.5,99.2,high
XLE440,RO,Carbontetrachloride,56-23-5,ClC(Cl)(Cl)Cl,153.81,0.31699842270901,0.332370614386237,0.0,2.997,1.59,2.59751014271211e-09,,0.3,2.83,2.83,793.0,,0.265685211287535,35.2,3.16,3.18,0.0,0.46,0.38,0.0,0.0,0.7391,150.0,0.272796180254854,1.2183844146048,0.0476917525422812,1.0,-0.491815973109623,39.8,39.6926265040454,-15.3,-1.13322875469847,-43.054445595267,,410.0,10.0,0.1,8.0,Artiﬁcial neural network models based on QSAR for predicting rejection of neutral organic compounds by polyamide nanoﬁltration and reverse osmosis membranes,153.823,2.5529,0.0,0,0,0,0,1.0,69.0,low
NF270,NF,Sulfamethoxazole,723-46-6,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.28,0.563489130329947,0.419214077088797,-0.9857,0.791,1.4895,7.77752800030572e-06,1.6,5.7,0.56,-0.56,610.0,-0.398727717127508,0.262637665467286,70.9,5.4,5.88,42.08939,1.89,2.23,0.58,1.29,1.7244,340.0,0.430317700421346,0.974196684631665,0.000665811083997754,0.1942164113288,-1.52610573048289,73.16,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,690.0,10.0,0.8,8.0,Elucidating the Rejection Mechanisms of PPCPs by Nanoﬁltration and Reverse Osmosis Membranes ,253.28300000000002,1.3660199999999998,98.22,5,2,2,3,0.1,86.0,low
NF90,NF,Sulfamethoxazole,723-46-6,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,253.28,0.563489130329947,0.419214077088797,-0.0637,0.791,1.4895,7.77752800030572e-06,1.6,5.7,0.56,-0.56,610.0,-0.398727717127508,0.262637665467286,70.9,5.4,5.88,1.738373,1.89,2.23,0.58,1.29,1.7244,118.0,0.23866774606206,1.75647561937335,0.572255362706293,0.934554936306557,-1.40025216674653,54.1,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,690.0,10.0,0.8,5.0,Elucidating the Rejection Mechanisms of PPCPs by Nanoﬁltration and Reverse Osmosis Membranes ,253.28300000000002,1.3660199999999998,98.22,5,2,2,3,0.1,76.0,low
NE90,NF,Clofibric acid,882-09-7,CC(C)(OC1=CC=C(Cl)C=C1)C(=O)O,214.65,0.465832587954085,0.388139245689527,-1.0,2.899,1.265,2.42229915221711e-09,3.12,,0.44,-0.88,673.97,-0.478304313837279,0.34695272609642,43.7,3.5,6.2,21.82,0.994,1.353,0.502,0.984,1.55699999999999,200.0,0.320205775712734,1.21215566716616,0.0450100271107184,0.427595255314554,-0.815579587328141,52.0,46.0969930988479,-21.82,-1.64080427396717,-53.1087791086764,,240.0,2880.0,0.1,8.0,Modeling of RO/NF membrane rejections of PhACs and organic compounds: a statistical analysis,214.648,2.582,46.53,2,1,1,3,0.3,86.0,low
VNF1,NF,Carbamazepine,298-46-4,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,236.274,0.507984251724401,0.405870770131068,0.0,2.766,1.266,1.76505511914234e-09,13.9,,2.28,2.28,18.0,-0.350883837448266,0.323422196174131,,4.48,5.76,0.0,2.15,1.9,0.5,1.15,1.8106,240.0,0.354432154976977,1.14512965156176,0.0210626157624378,1.0,,36.4,38.1564351241168,-44.0,-3.6183656220863,-105.807885074098,4.7,500.0,10.0,0.1,7.0,Influences of temperature on the retention of PPCPs by nanofiltration membranes: Experiments and modeling assessment,236.274,3.3872000000000018,46.330000000000005,1,1,3,0,0.0,80.5,low
CPA3,RO,Hydrocortisone,50-23-7,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,362.466,0.578865269298478,0.495316721723911,0.0,1.275,1.4,1.75619089106236e-09,12.58,,,,320.0,-0.392772864402291,0.189629162907463,58.8,4.45,7.53,0.0,2.03,3.49,0.71,1.9,2.7976,100.0,0.217648387362773,2.27576564074571,1.62757797010731,1.0,-1.43711792420421,73.0,59.6644481387874,-15.0,-1.11037496503814,-52.8753077568041,,1000.0,1440.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,362.4660000000002,1.7815999999999996,94.83,5,3,4,2,0.8095238095238095,94.5,high
XLE,RO,Lidocaine,137-58-6,CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,234.343,0.551747224732486,0.404323620980251,0.8504,2.843,1.026,1.51542649437628e-09,14.23,7.928,2.44,2.44,410.0,-0.324484604945174,0.238066131875597,39.1,4.51,6.75,-28.0632,1.11,1.51,0.07,1.24,2.0589,96.0,0.212755369932112,1.90041558579352,0.810748227139888,2.98220186291345,-0.596130075100415,65.0,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,1000.0,360.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,234.343,2.5837400000000006,32.34,2,1,1,5,0.5,97.5,high
NF270,NF,perﬂuorooctane sulfonate,1763-23-1,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,499.12,0.527594541290943,0.574836841254657,-1.0,5.43,,,-0.27,,3.66,3.66,553.0,2.80316778090608,3.29741248029618,19.6,4.04,6.89,42.7,-0.692,1.161,0.003,0.996,1.8763,340.0,0.430317700421346,1.33584289163984,0.112790447865009,0.189653457263089,0.0983964036506656,73.16,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,1379.0,118.1,10.0,4.0,Effect of Flux (Transmembrane Pressure) and Membrane Properties on Fouling and Rejection of Reverse Osmosis and Nanofiltration Membranes Treating Perfluorooctane Sulfonate Containing Wastewater,500.1259999999999,4.841100000000001,54.370000000000005,2,1,0,7,1.0,82.44,low
NF,NF,Hydrocortisone,50-23-7,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,362.466,0.578865269298478,0.495316721723911,0.0,1.275,1.4,1.75619089106236e-09,12.58,,,,320.0,-0.392772864402291,0.189629162907463,58.8,4.45,7.53,0.0,2.03,3.49,0.71,1.9,2.7976,300.0,0.40133958063462,1.23415866668493,0.0548302811836642,1.0,-1.27441138423258,53.8,47.1484311236295,-5.48,-0.400711084331131,-10.3480391648948,5.9,1000.0,10.0,10.0,7.0,Adsorption of hydrophilic and hydrophobic pharmaceuticals on RO/NF membranes: Identification of interactions using FTIR,362.4660000000002,1.7815999999999996,94.83,5,3,4,2,0.8095238095238095,91.05,high
NF90,NF,Gemfibrozil,25812-30-0,CC1=CC=C(C)C(OCCCC(C)(C)C(=O)O)=C1,250.338,0.60889818524939,0.416940768543284,-1.0,4.39,1.04,1.49975282743922e-09,4.5,,3.37,1.58,11.0,-0.493311560449535,0.30856399887904,37.9,4.99,7.43,27.29,0.81,1.41,0.55,0.8,2.1176,118.0,0.23866774606206,1.74695062664591,0.557935238646718,0.345571130038132,-0.555167491768953,54.1,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,276.0,10.0,0.005,7.0,Proposing nanofilltration as acceptable barrier for organic contaminants in water reuse,250.33799999999997,3.573240000000002,46.53,2,1,1,6,0.5333333333333333,96.0,high
NF90,NF,Acetaminophen,103-90-2,CC(=O)NC1=CC=C(O)C=C1,151.165,0.444840420825266,0.329698226496231,0.0,0.907,1.293,3.25613433569989e-09,9.5,,0.49,0.49,14000.0,-0.507964315792578,0.220747436312425,52.8,3.49,5.67,0.0,1.12,1.63,1.01,0.91,1.1724,118.0,0.23866774606206,1.38141090254609,0.145474276581023,1.0,-0.969536829445799,41.4,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,1500.0,10.0,0.5,5.0,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,151.165,1.3505999999999998,49.33,2,2,1,1,0.125,90.84,high
NF90,NF,Acetaminophen,103-90-2,CC(=O)NC1=CC=C(O)C=C1,151.165,0.444840420825266,0.329698226496231,0.0,0.907,1.293,3.25613433569989e-09,9.5,,0.49,0.49,14000.0,-0.507964315792578,0.220747436312425,52.8,3.49,5.67,0.0,1.12,1.63,1.01,0.91,1.1724,118.0,0.23866774606206,1.38141090254609,0.145474276581023,1.0,-0.969536829445799,41.4,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,500.0,10.0,0.5,7.0,Assessing potential of nanofilltration and reverse osmosis for removal of toxic pharmaceuticals from water,151.165,1.3505999999999998,49.33,2,2,1,1,0.125,89.25,low
CK,RO,Linuron,330-55-2,CON(C)C(=O)NC1=CC=C(Cl)C(Cl)=C1,249.09,0.504303480059379,0.415972115236566,0.0,2.299,1.49,2.54595013129281e-09,12.13,,3.2,3.2,75.0,-0.306009809679875,0.344982322746833,49.3,3.98,6.39,0.0,1.46,1.22,0.33,0.8,1.6579,225.0,0.341917332185883,1.21658680645772,0.0469098447315539,1.0,-1.00216145835455,54.2,47.385444224274,-11.0,-0.808970155470014,-24.5216722827861,,1000.0,10.0,11.6545,7.0,Removal of phenyl-urea herbicides in ultrapure water by ultrafiltration and nanofiltration processes,249.09699999999998,3.0185000000000013,41.57,2,1,1,2,0.2222222222222222,60.549,low
BW30,RO,Mecoprop,7085-19-0,CC1=CC(Cl)=CC=C1OC(C)C(=O)O,214.65,0.480874203924478,0.388139245689527,-1.0,2.56,1.265,7.78751885635737e-06,3.19,,0.67,-0.65,734.0,-0.478759121649377,0.344093956678379,43.6,4.1,5.64,16.26,1.008,1.369,0.502,0.945,1.55699999999999,100.0,0.217648387362773,1.78333159456211,0.613608387039218,0.53094576915775,-0.96210924398811,79.4,64.215042140265,-16.26,-1.20662429949634,-57.4586362189063,68.3,1000.0,10.0,1.0,7.0,"The eﬀect of water matrix, feed concentration and recovery on the rejection of pesticides using NF/RO membranes in water treatment",214.648,2.5003199999999994,46.53,2,1,1,3,0.3,96.675,high
