Name of MB,Type of MB,Types of contaminants,CAS,SMILES,Compound Mw (g/mol),Compound size (nm),Compound stokes radius rs (nm),Compound charge,Compound log K ow,Density (g·cm-3),Diffusion coefficient (cm2·s-1),pKa1,pKa2,log D (pH=5.5),log D (pH=7.4),WS (mg/L),MinPartialCharge,MaxPartialCharge,Surface tension γs (dyne·cm-1),Min projection (Å),Max projection (Å),Total charge,E,S,A,B,V,MB MWCO (Da),MB pore radius rp (nm),rs/rp,ΦS,ΦD,∆Gs-m (J·m-2),MB contact angle (°),"MB surface energy, γm (J·m-2)",MB zeta potential (mV),"MB surface charge density , σm (mC·m-2)","MB volume charge density, δm (mol·m-3)",RMS roughness (nm),Pressure (kPa),Measurement time (min),Initial concentration of compound (mg/L),pH,Reference,RD_MW,RD_LogP,RD_TPSA,RD_HBA,RD_HBD,RD_Rings,RD_RotBonds,RD_FracCSP3,Removal rate (%),zone
SWC1,RO,Procaine,59-46-1,CCN(CC)CCOC(=O)C1=CC=C(N)C=C1,236.315,0.588662891645125,0.405903546582652,0.9892,1.88,1.17,7.01451498347953e-06,,9.04,1.0,0.29,9450.0,-0.460732266199762,0.337667199807612,,4.31,8.04,-30.26952,1.15,1.34,0.26,1.44,1.9767,100.0,0.217648387362773,1.86495085721034,0.748139985388902,3.24971287093995,,48.8,44.2914001982887,-30.6,-2.36766939804397,-112.746821596111,52.9,1000.0,120.0,15.0,7.0,Removal of Glucocorticosteroids and Anesthetics from Water with RO/NF Membranes,236.315,1.7673999999999999,55.56,4,1,1,6,0.46153846153846156,99.3,high
UTC70,RO,Naproxen,22204-53-1,COC1=CC=C2C=C([C@H](C)C(=O)O)C=CC2=C1,230.263,0.534939248887198,0.401032087964405,-0.0606,2.986,1.24,7.37733355097318e-06,4.84,2.74,2.24,0.45,15.9,-0.496745104246102,0.310185725323245,47.4,3.92,7.3,0.962328,1.51,2.02,0.6,0.67,1.7821,65.0,0.171217516485414,2.34223750114124,1.80160150946988,0.963224307838748,-0.945163569306066,54.4,47.5044003738735,-15.88,-1.17752296418172,-71.2787200719548,66.1,300.0,10.0,1.0,3.0,Rejection of pharmaceuticals and personal care products (PPCPs) and endocrine disrupting chemicals (EDCs) by low pressure reverse osmosis membranes,230.26299999999998,3.036500000000001,46.53,2,1,2,3,0.21428571428571427,88.9674,low
VNF2,NF,Nalidixic acid,389-08-2,CCN1C=C(C(=O)O)C(=O)C2=CC=C(C)N=C21,232.239,0.572866476589441,0.402630082537906,-0.7816,0.786,1.331,7.65819896315191e-06,6.01,,1.27,1.0,100.0,-0.477497012873671,0.340724876931317,59.3,5.16,6.36,40.6432,1.63,1.86,0.01,1.16,1.6999,150.0,0.272796180254854,1.47593739091859,0.226516400074395,0.205466203512363,-1.50814832266742,79.4,64.215042140265,-52.0,-4.47691394401117,-170.09014908769,115.5,500.0,10.0,0.1,7.0,Influences of temperature on the retention of PPCPs by nanofiltration membranes: Experiments and modeling assessment,232.23899999999998,1.4230200000000002,72.19,3,1,2,2,0.25,78.11,low
NTR7450,NF,Benzylalcohol,100-51-6,OCC1=CC=CC=C1,108.14,0.394846805736098,0.282109203253187,0.0,1.206,1.045,2.76866529462265e-09,15.4,,1.1,1.1,42900.0,-0.3916804684282,0.0681369397217478,40.7,3.36,4.64,0.0,0.8,0.87,0.39,0.56,0.916,310.0,0.408736966210894,0.690197429090933,0.0959776329418675,1.0,-0.804980606766319,70.0,57.5807121916701,-16.6,-1.23271822352088,-31.2578137826674,9.0,800.0,120.0,0.21628,7.0,Relation between membrane characteristics and performance in nanofiltration,108.13999999999997,1.1789,20.23,1,1,1,1,0.14285714285714285,17.0,low
NF270,NF,Caffeine,58-08-2,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,194.19,0.473,0.370459538571697,0.0,-0.04,1.23,1.80562697831881e-09,10.4,,0.28,0.28,21600.0,-0.327863466099482,0.331703432635988,55.7,4.44,5.03,0.0,1.5,1.82,0.08,1.25,1.3632,340.0,0.430317700421346,0.860897746499763,0.0193494369288442,1.0,-1.13677668336861,29.8,59.2,-42.7,-3.48766904661821,-84.0010581590725,9.0,500.0,360.0,0.0003,7.0,Nanofiltration as tertiary treatment method for removing trace pharmaceutically active compounds in wastewater from wastewater treatment plants,194.194,-1.0293,61.82,3,0,2,0,0.375,54.0,low
NF90,NF,Sulfadiazine,68-35-9,NC1=CC=C(S(=O)(=O)NC2=NC=CC=N2)C=C1,250.28,0.526532050306532,0.416895808279041,0.0933,0.387,1.52,7.92917942332583e-06,6.36,,-0.09,-0.09,77.0,-0.398727717127439,0.263723395488873,82.6,4.53,6.12,-2.546157,2.08,2.55,0.65,1.37,1.7225,118.0,0.23866774606206,1.74676224650245,0.557653852801386,1.10421706756193,-1.64969592208089,63.2,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,690.0,10.0,0.8,3.0,Effect of silica fouling on the removal of pharmaceuticals and personal care products by nanofilltration and reverse osmosis membranes,250.28300000000004,0.8596000000000001,97.97,5,2,2,3,0.0,73.55,low
NF90,NF,Triclosan,3380-34-5,OC1=CC(Cl)=CC=C1OC1=CC=C(Cl)C=C1Cl,289.54,0.522623191219066,0.446148223995723,0.0,4.982,1.55,7.35106530218672e-06,7.9,,5.27,5.13,12.0,-0.504203131684532,0.168713901663033,51.7,4.17,6.55,0.0,1.73,1.55,0.47,0.45,1.8088,118.0,0.23866774606206,1.86932767982697,0.755730614913343,1.0,-0.94113374929873,54.1,42.0,-27.29,-2.08669307882832,-90.6157197257609,129.5,690.0,10.0,0.8,3.0,Elucidating the Rejection Mechanisms of PPCPs by Nanoﬁltration and Reverse Osmosis Membranes ,289.54499999999996,5.144700000000002,29.46,2,1,2,2,0.0,75.0,low
LE440,RO,Carbontetrachloride,56-23-5,ClC(Cl)(Cl)Cl,153.81,0.31699842270901,0.332370614386237,0.0,2.997,1.59,2.59751014271211e-09,,0.3,2.83,2.83,793.0,,0.265685211287535,35.2,3.16,3.18,0.0,0.46,0.38,0.0,0.0,0.7391,100.0,0.217648387362773,1.52709890669783,0.277833257442048,1.0,-0.496935028211141,41.5,40.5036427917544,-18.37,-1.36945788996213,-65.2126620931552,,510.0,168.06,0.1,8.0,Rejection of trace organic compounds by high-pressure membranes,153.823,2.5529,0.0,0,0,0,0,1.0,95.72,high
XLE,RO,Xylose,41247-05-6,O=C[C@H](O)[C@@H](O)[C@H](O)CO,150.13,0.408492349989568,0.328645709828039,0.0,-2.302,1.525,1.07959861602983e-05,12.14,,-2.39,-2.39,1250000.0,-0.393578891696416,0.150754586206109,81.4,4.06,4.11,0.0,0.743999999999999,1.653,0.354,1.575,1.0636,96.0,0.212755369932112,1.54471170308372,0.296710839476367,1.0,-1.63833368110228,39.8,41.81,-33.0,-2.57747636082803,-125.560449213323,60.2,689.476,10.0,0.1,3.5,Removal of haloacetic acids from swimming pool water by reverse osmosis and nanofiltration,150.12999999999997,-2.7397000000000005,97.99000000000001,5,4,0,4,0.8,96.591,high
XLE440,RO,Trichloroacetic acid,76-03-9,CC(=O)C(C)(CCl)CCl.Cl.O,163.38,0.349349395305044,0.341839909008673,-1.0,1.529,1.6126,1.06112463645652e-05,0.51,,-2.22,-2.23,54000.0,-0.47808031567667,0.355610760682494,53.0,3.17,3.85,15.3,0.52,1.21,1.01,0.26,0.832,150.0,0.272796180254854,1.25309639119329,0.0640577832350669,0.551167200410488,-1.01602220384866,39.8,39.6926265040454,-15.3,-1.13322875469847,-43.054445595267,,410.0,2880.0,0.1,8.0,Solute transport model for trace organic neutral and charged compounds through nanofilltration and reverse osmosis membranes,223.527,1.656400000000001,48.57,1,0,0,3,0.8333333333333334,82.1,low
